scientificName,decimalLatitude,decimalLongitude,name,color,dapc
P.catenifer_Sioux_NE,42.4649,-96.4131,OG,black,orange
P.catenifer_Wheeler_TX,35.4453,-100.271,OG,black,orange
P.ruthveni_Bienville_LA_1,32.3568,-92.9804,OG,black,orange
P.ruthveni_Bienville_LA_2,32.3568,-92.9804,OG,black,orange
P.m.l._Jackson_MS_2,32.2988,-90.1848,lodingi,red,#3A5795
P.m.l._Jackson_MS_3,32.2988,-90.1848,lodingi,red,#3A5795
P.m.l._Mobile_AL,30.6954,-88.0399,lodingi,red,#3A5795
P.m.l._Perry_MS_1,31.1673,-89.0179,lodingi,red,#3A5795
P.m.l._Perry_MS_2,31.1673,-89.0179,lodingi,red,#3A5795
P.m.l._Perry_MS_3,31.1673,-89.0179,lodingi,red,#3A5795
P.m.mel._Autauga_AL,32.5792,-86.4997,melanoleucus,yellow,#660099
P.m.mel._Burlington_NJ_1,40.0712,-74.8649,melanoleucus,yellow,#bada55
P.m.mel._Burlington_NJ_2,40.0712,-74.8649,melanoleucus,yellow,#bada55
P.m.mel._Humphreys_TN,36.0246,-87.737,melanoleucus,yellow,#660099
P.m.mel._Huntingdon_TN,36.0006,-88.4281,melanoleucus,yellow,#660099
P.m.mel._Marion_GA_1,32.3281,-84.5222,melanoleucus,yellow,#660099
P.m.mel._Marion_GA_2,32.3281,-84.5222,melanoleucus,yellow,#660099
P.m.mel._Ocean_NJ,40.2646,-74.0421,melanoleucus,yellow,#bada55
P.m.mel._Richmond_NC,35.003,-79.7848,melanoleucus,yellow,#bada55
P.m.mel._Rockingham_NC,34.9393,-79.7739,melanoleucus,yellow,#bada55
P.m.mel._Scotland_NC,34.8451,-79.4704,melanoleucus,yellow,#bada55
P.m.mel._Winston_AL,34.169,-87.3414,melanoleucus,yellow,#660099
P.m.mel._Hoke_NC,35.0432,-79.2451,melanoleucus,yellow,#bada55
P.m.mel._Baker_GA,31.2816,-84.4803,melanoleucus,yellow,#660099
P.m.mel._Covington_AL_1,31.3066,-86.4997,melanoleucus,yellow,#660099
P.m.mel._Covington_AL_2,31.3066,-86.4997,melanoleucus,yellow,#660099
P.m.mel._Pierce_GA,31.3438,-82.1714,melanoleucus,yellow,#660099
P.m.mel._Turner_GA,31.6977,-83.6348,melanoleucus,yellow,#660099
P.m.mg._Alachua_FL,29.7938,-82.4944,mugitus,green,#660099
P.m.mg._Bristol_FL,30.4321,-84.9757,mugitus,green,#660099
P.m.mg._Cantonment_FL,30.6054,-87.3446,mugitus,green,#660099
P.m.mg._Hamilton_FL,30.4756,-82.9502,mugitus,green,#660099
P.m.mg_Hernando_FL,28.9,-82.3745,mugitus,green,#660099
P.m.mg._Highlands_FL,27.34,-81.34,mugitus,green,#660099
P.m.mg._Lafayette_FL,30.03,-83.2078,mugitus,green,#660099
P.m.mg._Liberty_FL,30.1508,-84.8568,mugitus,green,#660099
P.m.mg._Marion_FL,29.2788,-82.1278,mugitus,green,#660099
P.m.mg._Okaloosa_FL,30.5773,-86.6611,mugitus,green,#660099
P.m.mg._Okeechobee_FL_1,27.2439,-80.8298,mugitus,green,#660099
P.m.mg._Okeechobee_FL_2,27.2439,-80.8298,mugitus,green,#660099
P.m.mg._PDLe_FL,30.723,-85.9374,mugitus,green,#660099
P.m.mg._SanRos_FL,30.396,-86.2288,mugitus,green,#660099
